Gene Symbol	SPOT	Profile	6d-average	7d-average	8d-average
Zm00001d028160	598	6	0	1.2	1.03
Zm00001d028161	599	4	0	-1.64	1.76
Zm00001d028162	600	5	0	3.27	-0.29
Zm00001d028165	602	6	0	8.58	6.14
Zm00001d028167	603	3	0	2.72	-5.87
Zm00001d028168	604	2	0	-2.24	-0.93
Zm00001d028170	606	2	0	-1.63	0.9
Zm00001d028171	607	4	0	0.29	1.28
Zm00001d028172	608	3	0	-0.62	-3.99
Zm00001d028182	614	4	0	0.23	1.33
Zm00001d028196	626	6	0	3.95	3.91
Zm00001d028199	628	7	0	0.8	1.97
Zm00001d028202	630	4	0	0.15	2.32
Zm00001d028217	640	6	0	6.02	5.19
Zm00001d028219	642	6	0	6.85	7.28
Zm00001d028222	645	4	0	0.07	3.23
Zm00001d028228	648	4	0	-1.42	3.14
Zm00001d028230	651	4	0	-0.44	1.64
Zm00001d028231	652	7	0	0.56	1.09
Zm00001d028233	654	3	0	-0.3	-4.24
Zm00001d028239	658	2	0	-1.59	0.98
Zm00001d028241	660	6	0	2.02	1.35
Zm00001d028248	663	5	0	1.86	0.14
Zm00001d028249	664	7	0	0.58	1.15
Zm00001d028252	665	2	0	-1.34	0.5
Zm00001d028260	670	5	0	1.84	0.85
Zm00001d028266	676	3	0	-0.41	-4.36
Zm00001d028270	679	5	0	2.98	1.2
Zm00001d028273	681	3	0	1.31	-1.76
Zm00001d028274	682	5	0	1.45	0.23
Zm00001d022703	684	3	0	-1.43	-5.36
Zm00001d028277	685	7	0	3.93	8.57
Zm00001d028280	687	5	0	0.7	-0.58
Zm00001d028282	688	6	0	3.02	1.99
Zm00001d028286	691	4	0	0	6.65
Zm00001d028288	693	1	0	-5.24	-5.24
Zm00001d028295	696	3	0	0.23	-1.75
Zm00001d028297	698	5	0	1.06	-0.52
Zm00001d028303	701	6	0	3.74	4.48
Zm00001d028304	702	7	0	1.32	3.05
Zm00001d028307	703	3	0	-0.01	-1.4
Zm00001d028311	706	4	0	0	6.13
Zm00001d028323	709	5	0	6.03	0
